titulo;preco;qtdVendida;linkVendedor;classificacaoVendedor;marca;sku;categoria;link
Antena Tv Digital Hdtv 4k Fm Dtv 100p Aquário 2,5m Nacionall;22;Novo  |  +50mil vendidos;https://perfil.mercadolivre.com.br/KARZEN+ELETRO;MercadoLíder Platinum;Aquário;DTV-100PFG;ANTENA INTERNA;https://www.mercadolivre.com.br/antena-tv-digital-hdtv-4k-fm-dtv-100p-aquario-25m-nacionall/p/MLB25673358#searchVariation=MLB25673358&position=2&search_layout=stack&type=product&tracking_id=c6c0ea76-779e-44e5-b7d1-4e39f28d3e8d
Antena De Tv Digital 4 Em 1 Hdtv Vhf Uhf Fm Dtv-100;25;Novo  |  +5mil vendidos;https://loja.mercadolivre.com.br/eletrohome?item_id=MLB4179008660&category_id=MLB44572&official_store_id=5275&client=recoview-selleritems&recos_listing=true;MercadoLíder Platinum;Otto;OT-TX03;ANTENA INTERNA;https://www.mercadolivre.com.br/antena-de-tv-digital-4-em-1-hdtv-vhf-uhf-fm-dtv-100/p/MLB23666530#searchVariation=MLB23666530&position=3&search_layout=stack&type=product&tracking_id=c6c0ea76-779e-44e5-b7d1-4e39f28d3e8d
Kit Conversor Digital Dtv9000+antena Interna Dtv100 Aquário;179;Novo  |  +1000 vendidos;https://loja.mercadolivre.com.br/santa-efigenia-em-casa?item_id=MLB2626233109&category_id=MLB421298&official_store_id=50301&client=recoview-selleritems&recos_listing=true;MercadoLíder Platinum;Aquário;DTV9000+DTV100;ANTENA INTERNA;https://produto.mercadolivre.com.br/MLB-2626233109-kit-conversor-digital-dtv9000antena-interna-dtv100-aquario-_JM#position=5&search_layout=stack&type=item&tracking_id=c6c0ea76-779e-44e5-b7d1-4e39f28d3e8d
Antena Interna E Externa Digital Hdtv 4k Vhf Uhf Fm;25;Novo  |  +1000 vendidos;https://lista.mercadolivre.com.br/_CustId_56705417?item_id=MLB1919331979&category_id=MLB44572&seller_id=56705417&client=recoview-selleritems&recos_listing=true;MercadoLíder Gold;Aquário;DTV-100P;ANTENA INTERNA;https://produto.mercadolivre.com.br/MLB-1919331979-antena-interna-e-externa-digital-hdtv-4k-vhf-uhf-fm-_JM#position=6&search_layout=stack&type=item&tracking_id=c6c0ea76-779e-44e5-b7d1-4e39f28d3e8d
Antena Interna Tv Digital Hdtv Dtv-100 Aquario Cabo 2,5 Mts;39;Novo  |  +100 vendidos;https://lista.mercadolivre.com.br/_CustId_1121217778?item_id=MLB2813448079&category_id=MLB44572&seller_id=1121217778&client=recoview-selleritems&recos_listing=true;MercadoLíder Platinum;Aquário;DTV-100;ANTENA INTERNA;https://produto.mercadolivre.com.br/MLB-2813448079-antena-interna-tv-digital-hdtv-dtv-100-aquario-cabo-25-mts-_JM#position=7&search_layout=stack&type=item&tracking_id=c6c0ea76-779e-44e5-b7d1-4e39f28d3e8d
Antena Digital Dtv100 4 Em 1 Hdtv Vhf Uhf Fm Dtv-100 Aquario;27;Novo  |  +100 vendidos;https://loja.mercadolivre.com.br/eletrohome?item_id=MLB1604845523&category_id=MLB44572&official_store_id=5275&client=recoview-selleritems&recos_listing=true;MercadoLíder Platinum;Aquário;DTV-100;ANTENA INTERNA;https://produto.mercadolivre.com.br/MLB-1604845523-antena-digital-dtv100-4-em-1-hdtv-vhf-uhf-fm-dtv-100-aquario-_JM#position=8&search_layout=stack&type=item&tracking_id=c6c0ea76-779e-44e5-b7d1-4e39f28d3e8d
Antena Digital Aquário 5 Em 1 Vhf Uhf Fm Hdtv 4k - Dtv100g;41;Novo  |  +5 vendidos;https://www.mercadolivre.com.br/pagina/digimegastore2298?item_id=MLB3547225425&category_id=MLB44572&seller_id=179499502&client=recoview-selleritems&recos_listing=true;MercadoLíder Platinum;Aquário;DTV-100/G;ANTENA INTERNA;https://www.mercadolivre.com.br/antena-digital-aquario-5-em-1-vhf-uhf-fm-hdtv-4k-dtv100g/p/MLB24545001#searchVariation=MLB24545001&position=4&search_layout=stack&type=product&tracking_id=c6c0ea76-779e-44e5-b7d1-4e39f28d3e8d
Kit Conversor Digital Dtv9000+antena Interna Dtv100 Aquário;149;Novo  |  2 vendidos;https://lista.mercadolivre.com.br/_CustId_1010206616?item_id=MLB3488644825&category_id=MLB421298&seller_id=1010206616&client=recoview-selleritems&recos_listing=true;MercadoLíder Gold;Aquário;DTV-9000;ANTENA INTERNA;https://produto.mercadolivre.com.br/MLB-3488644825-kit-conversor-digital-dtv9000antena-interna-dtv100-aquario-_JM#position=11&search_layout=stack&type=item&tracking_id=c6c0ea76-779e-44e5-b7d1-4e39f28d3e8d
Kit Conversor Digital Dtv9000+antena Interna Dtv100 Aquário;179;Novo  |  +1000 vendidos;https://loja.mercadolivre.com.br/santa-efigenia-em-casa?item_id=MLB2626233109&category_id=MLB421298&official_store_id=50301&client=recoview-selleritems&recos_listing=true;MercadoLíder Platinum;Aquário;DTV9000+DTV100;ANTENA INTERNA;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=kL%2BEoFft0qLTWw15prNW7Pb%2BPXo5bhGMzCmC2mJfvz1fqvIEH1M7XAFP%2Fz%2BbvHx9yhQSXuscGZMvc9yHS1aSQDBAFD2nOWnrP83PDXE57MHE9m1WPbS8umpaL9lL5%2BAcSgrbHcdAEJJPBaP5BwTgh25DOUDompdijmBQCVbfvjTh1o4bXAm8aodQhX%2FeVAPpsd2Vcni9CGCr%2BG6N6SOSwRB3njt4zTqTuO4ihFKIKupT2DYeQxjD9e5jicO%2B%2Bqc%2FX%2FeYCr%2F9nEDdmGhZCwVDPV1PMkgITjARXANsd4rUu8qqKtZzjzif5r7xiHFsgI6co4SQfS96rqVdL2AnMl10WY0hvdr4K0M9Lb7d%2FwgGsJxlZX9UMbpfgSRWai6GrRO8haQS%2BLiaQmIfVZaNjd6Q29271ew7DMbY8fjVZYQnA5171oFDDYifG6R79dMrkI5GG5RX9wRTpLIatHzMPQOp6MBdz4Q8lGL8E%2FvPIJ%2FXUskHodhKVGpiYGriNKFP5KUB0tV34wYYU5n2dEEFu9fRaMZGtEWJHPHF4KYu5ORxHb2vAfMpshYg%2FoVmlKxMdXXLOVnQbd5eYZ8e5AdXJXowXmPhkul9ZIUYVphxI3npZumwCsHYWcnRhVk7oNs7%2FIsC%2F7pcl2P%2BCu1FkQutjE1uaLqcGfHDP0kGJdAQZjYqY3bBDEamgGiDdTMZB7kvEwiBtuBnsRXwGrJDBG%2Bkzsyw%2BLIUuQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x
Antena Digital Interna Uhf E Hdtv C/cabo Dtv-100 Aquário;93;Novo;https://lista.mercadolivre.com.br/_CustId_77285660?item_id=MLB2754025717&category_id=MLB44572&seller_id=77285660&client=recoview-selleritems&recos_listing=true;null;Aquário;DTV-100;ANTENA INTERNA;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=c5qHPmsOgSP%2BBfIjNHnhydSIhzF0zCx%2F0DFs06KC6zlGYLc%2BJsXpDZblGq92Asv0jc5TwGGc47dgnrPO9w81uRk09sxMJ1Y6phbNw5H5CcqtuBJAsVjx%2Fljb0QDz9BEQxXcKeZFSDiATuLH5TfMKzvuxBxDw%2B7TCMUhsFPJgeOkJQV0O%2Fw8WLBwF%2FxXS%2BOHY0LurfXdYrEIqMq0vRduChCZs%2BchSOhw6GJ1C7%2Bq6CxH47zNUb5MpMMRYLY4Wujaq%2BiWQN2AoPV%2FKDgfmnN%2ByLozZUt%2BTMWjSWuZY0PJiTVt2QUxaSTddMAPiONaFnt7hE%2FEXfB3CPac8vj7Ckz4wqhs4JNfM02eaLCd0syRF263Gltkj1%2F1cwpzPT5Z8EANZjR0hoSuWBpfpcPnTqKfC1xdXFjp%2Fmy2Yiy%2BzCb9rgLT%2BqvxCqsobP6hUwCV2Az5WIMDaj8n7I8L0K9Hgm1Nwpd9H8qBrs0WuBPu6iZ3IR3XYZevcsEr68dMxrX5g%2F9xbtHWsa4Wke%2FImoD9ksnrC8hBiP6SMVTBNd%2BtHXqO8j1WIW4TLtopNKPQbT38jbYl7YsYZLFtn33Vg2q%2FV0XBmjf%2Fay0qjaua1CBJJTftxnmso8CBq63tndAEawk4VrQJkZj%2FtHRhhn3yDlumtpSLpZnAZNBcG7RZD8ioVuDuXGjJphjTMpangplE8aBYsCNHW1u8qdLrJhCBtn8kFvPfbCwM5Yg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x
