titulo;preco;qtdVendida;linkVendedor;classificacaoVendedor;marca;sku;categoria;link
Antena Tv Digital Hdtv 4k Fm Dtv 100p Aquário 2,5m Nacionall;23;Novo  |  +50mil vendidos;https://lista.mercadolivre.com.br/_CustId_474231497?item_id=MLB3433699967&category_id=MLB44572&seller_id=474231497&client=recoview-selleritems&recos_listing=true;MercadoLíder Gold;Aquário;DTV-100PFG;ANTENA INTERNA;https://www.mercadolivre.com.br/antena-interna-digital-hdtv-cabo-25-mt-dtv-100p-aquario/p/MLB25673358?pdp_filters=category:MLB44572#searchVariation=MLB25673358&position=1&search_layout=grid&type=product&tracking_id=87a58ffc-c1b1-40ed-92c7-8fb7b0a9e24c
Antena De Tv Digital 4 Em 1 Hdtv Vhf Uhf Fm Dtv-100;25;Novo  |  +5mil vendidos;https://loja.mercadolivre.com.br/eletrohome?item_id=MLB4179008660&category_id=MLB44572&official_store_id=5275&client=recoview-selleritems&recos_listing=true;MercadoLíder Platinum;Otto;OT-TX03;ANTENA INTERNA;https://www.mercadolivre.com.br/antena-de-tv-digital-4-em-1-hdtv-vhf-uhf-fm-dtv-100/p/MLB23666530?pdp_filters=category:MLB44572#searchVariation=MLB23666530&position=2&search_layout=grid&type=product&tracking_id=87a58ffc-c1b1-40ed-92c7-8fb7b0a9e24c
Antena Interna Digital Full Hd 4k Tv Smart Aquario Dtv-100p;26;Novo  |  +100 vendidos;https://lista.mercadolivre.com.br/_CustId_540378638?item_id=MLB2161406334&category_id=MLB44572&seller_id=540378638&client=recoview-selleritems&recos_listing=true;null;Genérica;Interna;ANTENA INTERNA;https://produto.mercadolivre.com.br/MLB-2161406334-antena-interna-digital-full-hd-4k-tv-smart-aquario-dtv-100p-_JM#position=6&search_layout=grid&type=item&tracking_id=87a58ffc-c1b1-40ed-92c7-8fb7b0a9e24c
null;null;null;null;null;null;null;ANTENA INTERNA;https://produto.mercadolivre.com.br/MLB-3285305549-antena-interna-tv-digital-hdtv-dtv-100-aquario-cabo-25-mts-_JM#position=10&search_layout=grid&type=item&tracking_id=87a58ffc-c1b1-40ed-92c7-8fb7b0a9e24c
Antena Digital Interna Smart Tv 4k Fullhd Aquario Dtv-100p;21;Novo  |  +500 vendidos;https://lista.mercadolivre.com.br/_CustId_540378638?item_id=MLB2161418505&category_id=MLB44572&seller_id=540378638&client=recoview-selleritems&recos_listing=true;null;Genérica;Interna;ANTENA INTERNA;https://produto.mercadolivre.com.br/MLB-2161418505-antena-digital-interna-smart-tv-4k-fullhd-aquario-dtv-100p-_JM#position=11&search_layout=grid&type=item&tracking_id=87a58ffc-c1b1-40ed-92c7-8fb7b0a9e24c
Antena Interna Tv Digital Hdtv Dtv-100 Aquario Cabo 2,5 Mts;39;Novo  |  +100 vendidos;https://lista.mercadolivre.com.br/_CustId_1121217778?item_id=MLB2813448079&category_id=MLB44572&seller_id=1121217778&client=recoview-selleritems&recos_listing=true;MercadoLíder Platinum;Aquário;DTV-100;ANTENA INTERNA;https://produto.mercadolivre.com.br/MLB-2813448079-antena-interna-tv-digital-hdtv-dtv-100-aquario-cabo-25-mts-_JM#position=12&search_layout=grid&type=item&tracking_id=87a58ffc-c1b1-40ed-92c7-8fb7b0a9e24c
null;null;null;null;null;null;null;ANTENA INTERNA;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Ia4vntazHBlmV4xoRLkYU0SRR76RpYEbUkHXn6YU%2BHMTenvY5rkwfxrYLaqGPm5yJ3oNCOJ9G5R3pggoO6UVxNe%2B0Pv6m3F3gS%2BAyXOIrNbtRDFk0M31P2iTJaqHg3L9cdzUIlSZ94LiIIfvk1B%2B16ollLNZJrVhVcTK%2B8ay1IzBnyWK7gY5i205eyMpzarMmzYeGXaNGVoUQdMNTCdz1L4TBeovXwKR577Bk009k3OyCSyYL9nUCDFpgGXoVSXe7dP2aVxiqaVdOx%2FTe3I3wJwqJdR56%2F8RrWA3ezr21IxyreeJtBFSXx70ndug3PBpSq4MgLgzuPAm7gc1tBWv9U9b9MvJI21K%2F2QvxVO8%2B3%2BS%2FZRXgJjKH2awb91TlzaqTdNwWIiH4S3Oly3HnGv4X4snSvcp8LOmzyZ64oT3NT7dBrkZVUOAfnE2m5aRzgzabvd993JO2Xacn0jj1vwe%2FpUOD4P4wDtAkIBcAI60Wx6bGD5EDtwCuiZ9FSkPgnCjd9wZ5MtRJMK2OI4nUuG6AqCjIHHSkpE2fNgN31omVYxQfueSa%2FcbmP5xMw%2BPnSQTVGM63xvliCKNJcwaNg9P9woePR8JMlkPNG6%2F4HSeuSbLVDZfz8qnI9Z84nBsmtsTw2kQCHnNDpPtljJ8axp5uFkD5eSf1Ja48L%2Bjhad4orMbq7JV70TlwbHYk46KZd9oZ%2BR3CWjmhpQ1TNIPfFBb1grBZg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x
Antena Interna Digital Full Hd 4k Tv Smart Aquario Dtv-100p;26;Novo  |  +100 vendidos;https://lista.mercadolivre.com.br/_CustId_540378638?item_id=MLB2161406334&category_id=MLB44572&seller_id=540378638&client=recoview-selleritems&recos_listing=true;null;Genérica;Interna;ANTENA INTERNA;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=AiOUmfnl0qUsK%2BN7AxgOaFaklJ0%2BzSsMMl%2FBbW65j2RQBwLvdZAHxVxtxObR0RlRnp6Yo%2BuWDiVmxpMeV0J7wUg7esFZc5MxkR7rj5SJhW7UEt8mqPkECM80QJkg%2FzgFXUlhP%2FOYvsyypqkojKTmWRD6WXo7MUY56z19ZFWAUMiHvrJ2t6SGQk98Omt9JQxiB4UDNe%2BgRD2EUYe7c1CDpKO2cO%2BoSBYx5cRhjz6pwr8kIUsvqJvWGIkk83NfryoP9Ayck8zomekPL6Q1YApccIwMPiFiXA%2BK2eqEDeHpOszym4P628Q9W1ZqMHPZaAsA9qbUaTbWvMx4D3E4bYX24wavjXPi0h9AJcS7ZYMqa049zQpHRJev9xrIQ2m%2FQ5xz0yAfpBkw30KJS0CyCeDwHtPDb2Y%2FGt2nKl4cYYErcmX6IuTfICoBfYVvYWJ%2FiDBWJmsx33KQs0qvvzNnCB4Jf5%2BWkboy2IBmP%2BymhPltBgsyg4%2B64D44mPxaWfAuoWHOzGf7UEJAb9ZD4Uut2cEMr2ieZJh0LDpynjxYOWFTm3N0D3O6rnkloKrYOe4fIjnY95yxUP%2BWVAS1%2FCX3Ezdagymhx5sbBrl4BayozXbRUyavrKTuyAnAur5XlY1L%2Fj6xhM1Ud6%2FVxLLGI4FaJt22JFWoRv6vzATfnA15cY7bPB%2FLgyxOaA2cSzEnZC8roVZORahka%2ByVwy%2BTjS%2FQe4YDrAAkhuKa&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x
Antena Digital Interna Smart Tv 4k Fullhd Aquario Dtv-100p;21;Novo  |  +500 vendidos;https://lista.mercadolivre.com.br/_CustId_540378638?item_id=MLB2161418505&category_id=MLB44572&seller_id=540378638&client=recoview-selleritems&recos_listing=true;null;Genérica;Interna;ANTENA INTERNA;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ZYhHA2q0jJRqyjozFho8FawRiS8Pni%2F40Ao5JK5xbdYiJ%2Bx7lg4lZwEMrz83LhcgI49%2B7xK3rrxSueg87RfUQhWrTb%2B%2FLMvEDQTJ19E%2FY7XxUmr2zczqQpAlZcEXyAZItA0%2FhrlaTt7R2N2Hz7%2FQoro85cHdkWXkimTWWT2Ceyn5r5VPM%2B1Gu46l%2FZl96%2BuW%2FNk0IaIfnnvE4VvCUc6t%2BxfP1ivCnaLG8x1S6ly8%2F%2FV2DKAKls%2FMCBg%2BCoODVy27AUlRVBpPISDDTtYwHGS%2FPPHpj0o04L6ghMwSpfbUv67FGDu1JRrlRjAU1Q7en29Oc7CPoN5eFuqzeDihIEwqBo%2F0kXXV2lfZ9NQ8hAcMAM6H3d2CMNBDG9u%2B8dU%2Fgpufg0bXmn%2BpGHU3AZf9AlcPkA%2BCAiO%2BmUGDTPoss3nsPWeF%2Ff79THlrF45mpE9WeNvnS5xQa6xIJYzOZYG%2FaGwuo6Lyb%2BBP%2BzUD85UBWaZHp93YLiZP1Ix3SjEO%2FCz86Nvuc46GPFk%2Bs10Znt4Gr4mM0SZxUKJjGXSDDl3ARC4QC%2FYQ0z3bRLN5K6UhTfwo1SfLBXejtzIq%2BovxjsCrDA4%2BEPKvUZ8d6aZiwZ1bYQC%2Bp0Kp70T59cIgJdzUT6jFjk6TJEp9TiSQyQLG7rVAODPra3CEfo4qDYjsPd0tcb6LYQACvXElXLPeWjE7N7NTavJQcWsHBfsAZzyYq9tP8KoDb4iCYQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x
Antena Interna Sinal Digital Amplificada Base Imã;79;Novo  |  +100 vendidos;https://lista.mercadolivre.com.br/_CustId_56705417?item_id=MLB2090651075&category_id=MLB44572&seller_id=56705417&client=recoview-selleritems&recos_listing=true;MercadoLíder Gold;Aquário;DTV100-P;ANTENA INTERNA;https://produto.mercadolivre.com.br/MLB-2090651075-antena-interna-sinal-digital-amplificada-base-im-_JM#position=13&search_layout=grid&type=item&tracking_id=87a58ffc-c1b1-40ed-92c7-8fb7b0a9e24c
